@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
13,0.849003,0.796667,0.203333,0.796667,0.884568,0.818445,MinkowskiDistance4
11,0.986667,0.986667,0.006667,0.993333,0.986667,0.986667,MinkowskiDistance4
1,1,1,0,1,1,1,MinkowskiDistance4
1,0.95755,0.957344,0.001698,0.998302,0.95742,0.957344,MinkowskiDistance4
3,0.953,0.953,0.005222,0.994778,0.95316,0.952959,MinkowskiDistance4
4,0.847,0.847,0.017,0.983,0.848411,0.847144,MinkowskiDistance4
1,0.976,0.976,0.002667,0.997333,0.976132,0.976011,MinkowskiDistance4
47,0.499,0.499,0.055667,0.944333,0.489756,0.486276,MinkowskiDistance4
3,0.9785,0.9785,0.002389,0.997611,0.978557,0.978463,MinkowskiDistance4
11,0.8235,0.8235,0.019611,0.980389,0.822094,0.822484,MinkowskiDistance4
3,0.98879,0.988755,0.001246,0.998754,0.988919,0.988799,MinkowskiDistance4
4,0.956697,0.71271,0.055919,0.944081,0.805719,0.751969,MinkowskiDistance4
1,0.993086,0.993081,0.000769,0.999231,0.993149,0.993111,MinkowskiDistance4
1,0.959307,0.959307,0.006782,0.993218,0.95979,0.959337,MinkowskiDistance4
1,0.826923,0.824185,0.175815,0.824185,0.827839,0.825308,MinkowskiDistance4
1,0.818083,0.809867,0.190133,0.809867,0.809452,0.809658,MinkowskiDistance4
29,0.802974,0.612744,0.387256,0.612744,0.685077,0.629736,MinkowskiDistance4
3,0.75,0.75,0.25,0.75,0.760417,0.747475,MinkowskiDistance4
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,MinkowskiDistance4
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,MinkowskiDistance4
1,0.609272,0.609074,0.195802,0.804198,0.611958,0.609871,MinkowskiDistance4
6,0.622931,0.626845,0.125982,0.874018,0.61536,0.619163,MinkowskiDistance4
43,0.8508,0.851355,0.07452,0.92548,0.852631,0.850292,MinkowskiDistance4
18,0.724719,0.72598,0.134388,0.865612,0.723245,0.719532,MinkowskiDistance4
190,0.9168,0.663194,0.051434,0.948566,?,?,CanberraDistance
9,0.456212,0.36689,0.311623,0.688377,0.318173,?,CanberraDistance
85,0.744792,0.664627,0.335373,0.664627,0.748166,0.673942,CanberraDistance
5,0.857143,0.627291,0.022744,0.977256,?,?,CanberraDistance
6,0.35514,0.177832,0.163984,0.836016,?,?,CanberraDistance
59,0.75817,0.602469,0.397531,0.602469,0.687632,0.611542,CanberraDistance
13,0.75,0.520147,0.15873,0.84127,?,?,CanberraDistance
1,0.719697,0.694118,0.150569,0.849431,0.758324,0.709861,CanberraDistance
25,0.67037,0.65,0.35,0.65,0.676367,0.647339,CanberraDistance
17,0.641026,0.5,0.5,0.5,?,?,CanberraDistance
47,0.96,0.96,0.02,0.98,0.96047,0.959984,CanberraDistance
9,1,1,0,1,1,1,CanberraDistance
4,0.82235,0.821464,0.007105,0.992895,0.839775,0.815655,CanberraDistance
4,0.958,0.958,0.004667,0.995333,0.958314,0.957987,CanberraDistance
11,0.8035,0.8035,0.021833,0.978167,0.81912,0.8057,CanberraDistance
5,0.956,0.956,0.004889,0.995111,0.95699,0.955967,CanberraDistance
3,0.21,0.21,0.087778,0.912222,?,?,CanberraDistance
1,0.103,0.103,0.099667,0.900333,?,?,CanberraDistance
11,0.768,0.768,0.025778,0.974222,0.765628,0.765468,CanberraDistance
135,0.103737,0.103252,0.09964,0.90036,?,?,CanberraDistance
5,0.971314,0.826685,0.036284,0.963716,0.876871,0.846539,CanberraDistance
8,0.599527,0.60466,0.044502,0.955498,0.588985,?,CanberraDistance
36,0.208658,0.208658,0.13189,0.86811,0.531655,0.168625,CanberraDistance
1,0.870192,0.863425,0.136575,0.863425,0.885897,0.866841,CanberraDistance
1,0.605955,0.5,0.5,0.5,?,?,CanberraDistance
33,0.788104,0.603398,0.396602,0.603398,0.652315,0.616301,CanberraDistance
5,0.75,0.75,0.25,0.75,0.833333,0.733333,CanberraDistance
1,0.919786,0.5,0.5,0.5,?,?,CanberraDistance
1,0.5,0.5,0.5,0.5,0.5,0.404762,CanberraDistance
1,0.682119,0.682334,0.1589,0.8411,0.682621,0.681323,CanberraDistance
11,0.700946,0.703182,0.099921,0.900079,0.687948,0.692974,CanberraDistance
49,0.8238,0.824306,0.08806,0.91194,0.824173,0.823346,CanberraDistance
3,0.97191,0.976526,0.014006,0.985994,0.973958,0.974284,CanberraDistance
70,0.9088,0.657407,0.05638,0.94362,?,?,MeanAbsoluteError1
42,0.553971,0.528817,0.229486,0.770514,0.541409,0.529959,MeanAbsoluteError1
17,0.760417,0.713851,0.286149,0.713851,0.740338,0.722465,MeanAbsoluteError1
8,0.863095,0.623964,0.022005,0.977995,?,?,MeanAbsoluteError1
1,0.724299,0.685982,0.062784,0.937216,0.695424,0.689243,MeanAbsoluteError1
19,0.764706,0.599012,0.400988,0.599012,0.711672,0.606571,MeanAbsoluteError1
5,0.75,0.520147,0.15873,0.84127,?,?,MeanAbsoluteError1
5,0.704545,0.699346,0.159647,0.840353,0.755577,0.716659,MeanAbsoluteError1
11,0.737037,0.729167,0.270833,0.729167,0.735056,0.73083,MeanAbsoluteError1
1,0.911681,0.883968,0.116032,0.883968,0.926147,0.899545,MeanAbsoluteError1
19,0.973333,0.973333,0.013333,0.986667,0.973333,0.973333,MeanAbsoluteError1
1,1,1,0,1,1,1,MeanAbsoluteError1
3,0.95685,0.956626,0.001726,0.998274,0.956826,0.956676,MeanAbsoluteError1
3,0.9515,0.9515,0.005389,0.994611,0.951713,0.951504,MeanAbsoluteError1
6,0.8455,0.8455,0.017167,0.982833,0.846735,0.84522,MeanAbsoluteError1
5,0.9745,0.9745,0.002833,0.997167,0.974778,0.974505,MeanAbsoluteError1
9,0.518,0.518,0.053556,0.946444,0.510137,0.511301,MeanAbsoluteError1
9,0.977,0.977,0.002556,0.997444,0.977356,0.977014,MeanAbsoluteError1
15,0.8315,0.8315,0.018722,0.981278,0.828004,0.829269,MeanAbsoluteError1
4,0.985943,0.985892,0.001563,0.998437,0.986283,0.985977,MeanAbsoluteError1
4,0.958706,0.729544,0.052632,0.947368,0.824796,0.770114,MeanAbsoluteError1
1,0.994269,0.994255,0.000637,0.999363,0.994315,0.99428,MeanAbsoluteError1
1,0.974026,0.974026,0.004329,0.995671,0.974067,0.974007,MeanAbsoluteError1
1,0.846154,0.844153,0.155847,0.844153,0.84647,0.844993,MeanAbsoluteError1
1,0.849598,0.843009,0.156991,0.843009,0.842355,0.842677,MeanAbsoluteError1
9,0.791822,0.639507,0.360493,0.639507,0.668965,0.650649,MeanAbsoluteError1
5,0.7625,0.7625,0.2375,0.7625,0.838983,0.748303,MeanAbsoluteError1
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,MeanAbsoluteError1
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,MeanAbsoluteError1
1,0.635762,0.635228,0.182368,0.817632,0.636206,0.635347,MeanAbsoluteError1
6,0.679669,0.68372,0.107046,0.892954,0.667408,0.671998,MeanAbsoluteError1
49,0.855,0.855607,0.072417,0.927583,0.856997,0.854307,MeanAbsoluteError1
1,0.837079,0.837874,0.080979,0.919021,0.832323,0.834291,MeanAbsoluteError1
24,0.9024,0.652778,0.060336,0.939664,?,?,SumOfSquaredDifference
22,0.55465,0.530949,0.228895,0.771105,0.540466,0.53234,SumOfSquaredDifference
17,0.760417,0.712119,0.287881,0.712119,0.741143,0.721212,SumOfSquaredDifference
8,0.869048,0.64031,0.021333,0.978667,?,?,SumOfSquaredDifference
1,0.733645,0.715015,0.060452,0.939548,0.705064,0.705253,SumOfSquaredDifference
33,0.77451,0.605679,0.394321,0.605679,0.747431,0.614898,SumOfSquaredDifference
9,0.642857,0.450549,0.22381,0.77619,?,?,SumOfSquaredDifference
6,0.734848,0.734641,0.143186,0.856814,0.781778,0.748417,SumOfSquaredDifference
